date,BLK,AAPL,JPM,GOOGL
2019-08-20,418.29,210.36,107.31,1183.53
2019-08-21,420.93,212.64,107.61,1191.58
2019-08-22,419.0,212.46,108.72,1191.52
2019-08-23,407.25,202.64,106.02,1153.58
2019-08-26,405.47,206.49,106.87,1171.18
2019-08-27,410.51,204.16,105.74,1170.82
2019-08-28,413.84,205.53,106.8,1173.75
2019-08-29,422.04,209.01,109.22,1194.24
2019-08-30,422.56,208.74,109.86,1190.53
2019-09-03,415.82,205.7,108.56,1169.55
2019-09-04,415.64,209.19,109.87,1182.27
2019-09-05,424.72,213.28,112.37,1212.19
2019-09-06,423.83,213.26,112.61,1206.32
2019-09-09,430.85,214.17,115.4,1205.27
2019-09-10,428.34,216.7,116.87,1205.7
2019-09-11,432.83,223.59,117.19,1220.0
2019-09-12,434.75,223.085,117.91,1234.97
2019-09-13,442.96,218.75,120.23,1240.03
2019-09-16,435.71,219.9,119.16,1231.63
2019-09-17,439.18,220.7,118.57,1229.88
2019-09-18,443.16,222.77,119.76,1232.65
2019-09-19,443.98,220.96,119.38,1238.75
2019-09-20,444.39,217.73,118.9,1229.84
2019-09-23,446.2,218.72,118.88,1234.69
2019-09-24,442.12,217.68,117.33,1218.33
2019-09-25,445.19,221.03,118.0,1245.94
2019-09-26,446.0,219.89,117.03,1242.29
2019-09-27,446.13,218.82,117.72,1225.95
2019-09-30,445.64,223.97,117.69,1221.14
2019-10-01,433.69,224.59,115.55,1206.0
2019-10-02,420.36,218.96,113.25,1177.92
2019-10-03,419.61,220.82,112.19,1189.43
2019-10-04,427.44,227.01,114.62,1210.96
2019-10-07,423.17,227.06,114.37,1208.25
2019-10-08,413.16,224.4,111.82,1190.13
2019-10-09,417.17,227.03,112.63,1202.4
2019-10-10,420.38,230.09,114.21,1209.47
2019-10-11,434.0,236.21,116.14,1215.71
2019-10-14,434.21,235.87,116.45,1217.77
2019-10-15,444.45,235.32,119.96,1242.24
2019-10-16,446.4,234.37,119.68,1243.0
2019-10-17,450.67,235.28,120.35,1252.8
2019-10-18,445.04,236.41,120.56,1244.41
2019-10-21,453.65,240.51,123.55,1244.28
2019-10-22,450.32,239.96,124.79,1241.2
2019-10-23,457.06,243.18,125.12,1257.63
2019-10-24,454.66,243.58,125.03,1259.11
2019-10-25,459.8,246.58,126.03,1264.3
2019-10-28,466.56,249.05,126.51,1288.98
2019-10-29,466.16,243.29,126.43,1260.66
2019-10-30,466.94,243.26,125.73,1260.7
2019-10-31,461.7,248.76,124.92,1258.8
2019-11-01,469.17,255.82,127.8,1272.25
2019-11-04,476.53,257.5,128.82,1289.61
2019-11-05,482.44,257.13,129.1,1291.44
2019-11-06,489.54,257.24,129.3,1291.01
2019-11-07,490.16,259.43,130.0,1306.94
2019-11-08,490.21,260.14,130.38,1309.0
2019-11-11,486.79,262.2,129.92,1298.28
2019-11-12,486.79,261.96,129.16,1297.21
2019-11-13,485.57,264.47,128.48,1296.18
2019-11-14,484.59,262.64,128.6,1309.15
2019-11-15,490.96,265.76,129.53,1333.54
2019-11-18,491.74,267.1,130.62,1319.84
2019-11-19,492.8,266.29,130.58,1312.59
2019-11-20,488.81,263.19,129.63,1301.86
2019-11-21,484.98,262.01,129.93,1300.14
2019-11-22,485.0,261.78,130.79,1293.67
2019-11-25,491.86,266.37,131.49,1305.64
2019-11-26,490.89,264.29,131.67,1313.0
2019-11-27,494.21,267.84,132.06,1312.13
2019-11-29,494.91,267.25,131.76,1304.09
2019-12-02,489.7,264.16,131.47,1288.86
2019-12-03,485.76,259.45,129.78,1294.74
2019-12-04,486.69,261.74,132.34,1318.94
2019-12-05,490.3,265.58,133.06,1326.96
2019-12-06,495.76,270.71,135.04,1339.39
2019-12-09,497.07,266.92,134.41,1342.99
2019-12-10,494.03,268.48,134.5,1342.89
2019-12-11,493.91,270.77,134.18,1344.25
2019-12-12,502.12,271.46,138.02,1348.49
2019-12-13,498.61,275.15,136.81,1346.87
2019-12-16,502.05,279.86,137.34,1360.7
2019-12-17,502.29,280.41,138.18,1354.89
2019-12-18,499.49,279.74,138.04,1351.91
2019-12-19,502.34,280.02,137.35,1356.44
2019-12-20,499.59,279.44,137.24,1351.22
2019-12-23,499.66,284.0,137.2,1350.63
2019-12-24,499.64,284.27,137.58,1344.43
2019-12-26,503.24,289.91,139.04,1362.47
2019-12-27,503.01,289.8,139.14,1354.64
2019-12-30,500.84,291.52,138.63,1339.71
2019-12-31,502.7,293.65,139.4,1339.39
2020-01-02,508.98,300.35,141.09,1368.68
2020-01-03,503.57,297.43,138.34,1361.52
2020-01-06,504.0,299.8,138.23,1397.81
2020-01-07,507.22,298.39,135.88,1395.11
2020-01-08,507.1,303.19,136.94,1405.04
2020-01-09,513.1,309.63,137.44,1419.79
2020-01-10,512.18,310.33,136.07,1428.96
