date,BLK,AAPL,JPM,GOOGL
2019-08-20,423.41,210.88,107.85,1195.35
2019-08-21,422.8,212.99,108.21,1195.82
2019-08-22,423.0,213.19,108.37,1193.8
2019-08-23,416.94,209.43,108.0,1185.17
2019-08-26,411.68,205.86,106.62,1159.45
2019-08-27,406.65,207.86,107.35,1183.0
2019-08-28,408.01,204.1,105.08,1164.87
2019-08-29,419.0,208.5,108.14,1186.42
2019-08-30,424.96,210.16,109.84,1200.35
2019-09-03,420.99,206.43,108.98,1181.85
2019-09-04,416.28,208.39,109.45,1179.45
2019-09-05,421.82,212.0,111.25,1193.66
2019-09-06,424.88,214.05,112.66,1209.14
2019-09-09,426.96,214.84,113.71,1207.08
2019-09-10,432.0,213.86,116.3,1196.09
2019-09-11,429.27,218.07,116.89,1203.89
2019-09-12,432.91,224.8,116.55,1223.47
2019-09-13,438.15,220.0,119.0,1232.11
2019-09-16,439.17,217.73,118.9,1230.44
2019-09-17,436.95,219.96,118.42,1231.63
2019-09-18,442.55,221.06,118.32,1230.24
2019-09-19,443.55,222.01,119.7,1232.32
2019-09-20,446.16,221.38,119.74,1233.64
2019-09-23,440.94,218.95,117.78,1226.57
2019-09-24,449.1,221.055,118.75,1240.0
2019-09-25,442.0,218.55,117.27,1216.01
2019-09-26,444.72,220.0,117.88,1242.14
2019-09-27,448.58,220.54,117.96,1242.83
2019-09-30,448.09,220.9,118.36,1220.6
2019-10-01,445.63,225.07,118.4,1222.49
2019-10-02,428.5,223.06,114.81,1196.5
2019-10-03,418.89,218.43,112.27,1183.34
2019-10-04,421.15,225.64,112.34,1194.29
2019-10-07,424.76,226.27,114.19,1207.0
2019-10-08,419.37,225.82,113.06,1198.77
2019-10-09,415.81,227.03,112.67,1201.33
2019-10-10,417.07,227.93,113.14,1198.6
2019-10-11,428.0,232.95,116.03,1224.03
2019-10-14,432.29,234.9,115.85,1213.89
2019-10-15,437.82,236.39,118.85,1221.5
2019-10-16,445.0,233.37,119.96,1241.81
2019-10-17,449.99,235.09,120.75,1251.4
2019-10-18,448.73,234.59,120.0,1254.69
2019-10-21,447.06,237.52,122.05,1248.7
2019-10-22,453.63,241.16,123.45,1244.48
2019-10-23,449.83,242.1,124.2,1240.21
2019-10-24,457.58,244.51,125.29,1259.11
2019-10-25,455.8,243.16,125.0,1252.0
2019-10-28,461.47,247.42,126.57,1275.0
2019-10-29,464.95,248.97,126.06,1276.0
2019-10-30,465.4,244.76,126.05,1255.15
2019-10-31,464.22,247.24,125.49,1260.0
2019-11-01,466.36,249.54,126.2,1265.8
2019-11-04,474.88,257.33,129.08,1276.11
2019-11-05,476.53,257.05,129.39,1291.2
2019-11-06,484.91,256.77,128.69,1290.09
2019-11-07,492.2,258.74,130.43,1294.28
2019-11-08,489.85,258.69,129.88,1301.52
2019-11-11,486.4,258.3,129.6,1304.0
2019-11-12,487.0,261.55,129.63,1298.57
2019-11-13,482.53,261.13,128.13,1293.18
2019-11-14,484.97,263.75,127.72,1295.0
2019-11-15,486.07,263.68,129.23,1315.05
2019-11-18,490.81,265.8,129.56,1332.34
2019-11-19,493.0,267.9,130.99,1326.63
2019-11-20,490.58,265.54,130.3,1311.36
2019-11-21,489.0,263.69,130.0,1299.25
2019-11-22,485.0,262.59,130.15,1303.0
2019-11-25,486.24,262.71,131.25,1296.26
2019-11-26,490.76,266.94,131.82,1309.91
2019-11-27,490.43,265.58,132.29,1315.42
2019-11-29,496.55,266.6,131.87,1306.6
2019-12-02,495.28,267.27,132.31,1302.56
2019-12-03,484.64,258.31,129.77,1278.66
2019-12-04,485.66,261.07,130.38,1306.1
2019-12-05,485.11,263.79,132.68,1327.0
2019-12-06,495.47,267.48,134.69,1332.75
2019-12-09,494.3,270.0,134.63,1338.86
2019-12-10,497.79,268.6,133.25,1339.94
2019-12-11,494.28,268.81,134.29,1348.3
2019-12-12,494.04,267.78,134.49,1343.21
2019-12-13,501.59,271.46,137.95,1347.9
2019-12-16,503.61,277.0,138.38,1355.0
2019-12-17,503.53,279.57,137.73,1362.41
2019-12-18,503.17,279.8,138.15,1357.0
2019-12-19,499.34,279.5,137.76,1351.91
2019-12-20,506.36,282.23,138.02,1363.1
2019-12-23,501.62,280.53,137.6,1358.73
2019-12-24,500.3,284.69,137.33,1350.21
2019-12-26,499.84,284.82,137.89,1346.55
2019-12-27,503.25,291.12,139.3,1364.0
2019-12-30,504.0,289.46,139.9,1356.81
2019-12-31,500.76,289.93,138.51,1335.79
2020-01-02,510.0,296.24,139.79,1348.41
2020-01-03,501.72,297.15,137.5,1348.0
2020-01-06,500.17,293.79,136.56,1351.63
2020-01-07,502.88,299.84,137.28,1400.46
2020-01-08,507.77,297.16,135.7,1394.82
2020-01-09,513.88,307.235,138.05,1421.93
2020-01-10,514.51,310.6,137.21,1429.47
