date,BLK,AAPL,JPM,GOOGL
2019-08-20,423.41,213.35,108.44,1198.0
2019-08-21,424.97,213.65,108.43,1200.56
2019-08-22,423.924,214.435,109.265,1198.78
2019-08-23,418.97,212.051,108.78,1195.67
2019-08-26,411.875,207.19,106.99,1171.86
2019-08-27,410.9,208.55,107.56,1185.0
2019-08-28,413.97,205.72,107.21,1178.5
2019-08-29,424.83,209.32,109.89,1199.19
2019-08-30,425.845,210.45,110.56,1200.35
2019-09-03,420.99,206.98,108.99,1189.08
2019-09-04,418.67,209.48,110.22,1184.88
2019-09-05,429.98,213.97,113.72,1214.0
2019-09-06,426.13,214.42,112.98,1212.94
2019-09-09,432.87,216.44,116.055,1220.55
2019-09-10,434.105,216.78,117.27,1210.0
2019-09-11,434.135,223.71,117.2,1222.47
2019-09-12,437.25,226.42,118.473,1242.41
2019-09-13,444.79,220.79,120.4,1241.05
2019-09-16,442.63,220.13,119.8699,1239.02
2019-09-17,439.54,220.82,118.61,1235.0
2019-09-18,444.95,222.85,120.08,1236.24
2019-09-19,448.95,223.76,120.3396,1244.34
2019-09-20,447.13,222.56,120.34,1242.8
2019-09-23,448.08,219.84,119.12,1239.68
2019-09-24,449.97,222.49,119.26,1247.11
2019-09-25,445.56,221.5,118.36,1248.02
2019-09-26,447.21,220.94,118.05,1244.67
2019-09-27,449.52,220.96,118.635,1244.99
2019-09-30,448.98,224.58,118.77,1227.4
2019-10-01,448.67,228.22,119.0,1232.86
2019-10-02,429.3337,223.58,114.9,1198.76
2019-10-03,421.61,220.96,112.91,1191.0
2019-10-04,427.7,227.49,114.94,1212.46
2019-10-07,427.24,229.93,115.5,1218.91
2019-10-08,420.26,228.06,113.06,1206.87
2019-10-09,419.33,227.79,113.16,1208.46
2019-10-10,424.88,230.44,115.4,1215.62
2019-10-11,435.8999,237.64,117.99,1228.75
2019-10-14,434.5,238.1342,116.87,1225.88
2019-10-15,447.98,237.65,121.59,1247.12
2019-10-16,447.4,235.24,120.62,1254.19
2019-10-17,454.38,236.15,121.57,1263.75
2019-10-18,450.19,237.58,121.02,1258.11
2019-10-21,454.39,240.99,123.77,1253.51
2019-10-22,455.255,242.2,125.1,1248.73
2019-10-23,457.32,243.24,125.15,1258.04
2019-10-24,459.48,244.8,125.66,1262.9
2019-10-25,460.6,246.73,126.65,1268.0
2019-10-28,469.5,249.25,127.21,1299.24
2019-10-29,470.79,249.75,127.42,1280.8
2019-10-30,467.55,245.3,126.26,1268.02
2019-10-31,466.94,249.17,125.73,1266.52
2019-11-01,471.6,255.93,127.9852,1273.0
2019-11-04,476.8,257.845,129.42,1292.5
2019-11-05,484.89,258.19,130.3,1297.24
2019-11-06,491.58,257.49,129.84,1292.99
2019-11-07,495.39,260.35,131.29,1322.65
2019-11-08,491.94,260.44,130.4,1317.11
2019-11-11,488.81,262.47,130.1,1304.9
2019-11-12,487.623,262.79,130.62,1309.35
2019-11-13,487.9,264.78,128.815,1302.52
2019-11-14,485.63,264.88,128.84,1315.72
2019-11-15,491.8781,265.78,129.53,1333.54
2019-11-18,492.566,267.43,130.65,1333.92
2019-11-19,495.78,268.0,131.25,1326.63
2019-11-20,492.71,266.083,130.62,1313.21
2019-11-21,489.5,264.005,130.72,1311.12
2019-11-22,487.765,263.18,131.22,1306.9
2019-11-25,492.56,266.44,132.07,1310.41
2019-11-26,491.455,267.16,131.82,1314.01
2019-11-27,494.64,267.98,132.43,1317.64
2019-11-29,496.9,268.0,132.41,1309.95
2019-12-02,495.69,268.25,132.74,1305.44
2019-12-03,486.21,259.53,129.96,1297.23
2019-12-04,493.0,263.31,132.47,1324.27
2019-12-05,490.54,265.89,133.31,1327.98
2019-12-06,499.7,271.0,135.78,1342.47
2019-12-09,498.09,270.8,135.46,1357.55
2019-12-10,497.92,270.07,134.77,1348.0
2019-12-11,497.34,271.1,135.02,1349.89
2019-12-12,503.69,272.5599,138.47,1354.58
2019-12-13,503.86,275.3,138.83,1351.35
2019-12-16,506.81,280.79,138.84,1363.53
2019-12-17,505.22,281.77,138.6687,1364.33
2019-12-18,503.17,281.9,139.02,1359.43
2019-12-19,503.86,281.18,138.22,1357.53
2019-12-20,506.36,282.65,138.88,1364.0
2019-12-23,502.8161,284.25,137.91,1361.85
2019-12-24,500.76,284.89,137.63,1352.01
2019-12-26,503.26,289.98,139.1,1363.2
2019-12-27,504.545,293.97,139.77,1367.07
2019-12-30,504.0,292.69,140.08,1357.0
2019-12-31,502.89,293.68,139.48,1340.66
2020-01-02,510.0,300.6,141.1,1368.68
2020-01-03,506.701,300.58,139.23,1373.75
2020-01-06,504.77,299.96,138.27,1398.32
2020-01-07,509.82,300.9,137.86,1403.5
2020-01-08,510.14,304.4399,137.58,1411.85
2020-01-09,514.82,310.43,138.23,1428.68
2020-01-10,515.24,312.67,137.25,1434.94
