date,BLK,AAPL,JPM,GOOGL
2019-08-20,417.5301,210.32,107.24,1183.05
2019-08-21,420.105,211.6032,107.445,1187.92
2019-08-22,416.63,210.75,107.93,1178.91
2019-08-23,405.07,201.0,105.11,1150.0
2019-08-26,403.535,205.0573,106.01,1154.85
2019-08-27,405.26,203.53,104.84,1164.56
2019-08-28,406.385,203.32,105.04,1160.25
2019-08-29,416.99,206.655,108.02,1185.28
2019-08-30,420.9296,207.2,109.47,1185.72
2019-09-03,412.69,204.22,107.3167,1163.71
2019-09-04,412.12,207.32,108.56,1171.53
2019-09-05,420.83,211.51,111.2,1192.69
2019-09-06,421.18,212.51,111.9636,1203.26
2019-09-09,424.86,211.07,113.6,1193.17
2019-09-10,421.435,211.71,115.7275,1196.01
2019-09-11,423.86,217.73,115.38,1202.28
2019-09-12,428.7401,222.86,115.92,1222.56
2019-09-13,437.07,217.02,118.75,1227.08
2019-09-16,432.45,217.56,118.38,1225.19
2019-09-17,434.69,219.12,117.24,1223.35
2019-09-18,438.93,219.44,117.75,1216.47
2019-09-19,442.095,220.37,119.09,1232.31
2019-09-20,441.815,217.473,118.87,1223.58
2019-09-23,440.2622,217.65,117.68,1223.78
2019-09-24,439.14,217.19,117.04,1210.64
2019-09-25,437.3044,217.1402,117.12,1209.2
2019-09-26,442.15,218.83,116.95,1231.82
2019-09-27,440.95,217.2814,117.28,1215.2
2019-09-30,445.0,220.79,117.215,1213.42
2019-10-01,433.27,224.2,115.41,1205.55
2019-10-02,417.465,217.93,112.93,1172.63
2019-10-03,411.21,215.132,110.52,1163.14
2019-10-04,419.09,223.89,112.27,1190.97
2019-10-07,421.275,225.84,114.07,1204.36
2019-10-08,411.75,224.33,111.66,1189.48
2019-10-09,413.96,225.64,112.07,1198.12
2019-10-10,417.07,227.3,113.0,1197.86
2019-10-11,425.46,232.3075,115.865,1213.64
2019-10-14,429.63,234.6701,115.66,1211.88
2019-10-15,435.05,234.88,117.87,1220.92
2019-10-16,444.0625,233.2,119.38,1238.53
2019-10-17,449.0,233.52,119.88,1249.87
2019-10-18,444.6,234.29,119.86,1240.14
2019-10-21,447.0354,237.32,121.99,1239.99
2019-10-22,449.0,239.6218,123.12,1239.85
2019-10-23,448.33,241.22,124.165,1240.21
2019-10-24,451.71,241.805,124.07,1252.35
2019-10-25,451.67,242.88,124.75,1249.15
2019-10-28,461.47,246.72,126.4,1272.31
2019-10-29,464.6,242.57,125.94,1255.61
2019-10-30,460.63,241.21,124.916,1250.65
2019-10-31,458.0,237.26,123.86,1249.48
2019-11-01,466.305,249.16,126.02,1259.71
2019-11-04,472.91,255.38,128.5601,1276.11
2019-11-05,475.7936,256.32,128.84,1289.38
2019-11-06,483.0774,255.365,128.58,1282.27
2019-11-07,489.54,258.11,129.92,1293.75
2019-11-08,485.66,256.85,129.25,1301.52
2019-11-11,485.39,258.28,129.35,1295.87
2019-11-12,484.41,260.92,129.01,1294.24
2019-11-13,480.57,261.07,127.42,1292.15
2019-11-14,481.84,262.1,127.59,1293.94
2019-11-15,484.0,263.01,128.4,1311.89
2019-11-18,488.69,264.23,128.99,1316.16
2019-11-19,491.13,265.3926,130.18,1311.77
2019-11-20,485.17,260.4,128.94,1289.21
2019-11-21,482.54,261.18,129.39,1290.75
2019-11-22,484.1,260.84,130.1,1289.36
2019-11-25,484.36,262.52,130.865,1295.61
2019-11-26,487.5,262.5,130.3573,1304.04
2019-11-27,488.86,265.31,131.65,1309.47
2019-11-29,493.46,265.9,131.45,1303.23
2019-12-02,488.91,263.45,131.35,1280.38
2019-12-03,478.68,256.29,128.585,1277.05
2019-12-04,485.66,260.68,129.99,1303.05
2019-12-05,482.52,262.73,132.18,1314.32
2019-12-06,491.85,267.3,134.65,1331.23
2019-12-09,492.1,264.91,134.41,1336.07
2019-12-10,492.85,265.86,132.88,1334.0
2019-12-11,492.62,268.5,134.01,1341.1
2019-12-12,493.52,267.321,134.21,1338.2
2019-12-13,495.485,270.93,136.22,1341.66
2019-12-16,501.22,276.98,137.32,1350.61
2019-12-17,500.1,278.8,137.23,1350.77
2019-12-18,498.17,279.12,137.7151,1350.46
2019-12-19,499.02,278.95,137.1,1348.75
2019-12-20,499.42,278.56,136.9,1350.73
2019-12-23,497.61,280.3735,136.88,1348.0
2019-12-24,497.44,282.9197,137.0641,1344.16
2019-12-26,499.725,284.7,137.78,1345.51
2019-12-27,501.62,288.12,138.6697,1353.0
2019-12-30,499.59,285.22,138.47,1337.84
2019-12-31,498.28,289.52,138.295,1332.13
2020-01-02,504.92,295.19,139.265,1346.49
2020-01-03,501.5205,296.5,137.08,1347.32
2020-01-06,498.51,292.75,136.5,1351.0
2020-01-07,502.88,297.48,135.82,1391.56
2020-01-08,502.24,297.156,135.6,1392.63
2020-01-09,510.6,306.2,137.04,1410.21
2020-01-10,510.41,308.25,135.81,1419.6
